gisco_id,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid,concordance
FI_005,FI,FI19,FI194,005,Alajärvi,9562,1056.57355029,2020,FI_005,official
FI_009,FI,FI1D,FI1D9,009,Alavieska,2519,254.1643892,2020,FI_009,official
FI_010,FI,FI19,FI194,010,Alavus,11468,1151.97672413,2020,FI_010,official
FI_016,FI,FI1C,FI1C3,016,Asikkala,8083,755.18990806,2020,FI_016,official
FI_018,FI,FI1B,FI1B1,018,Askola,4943,218.11008753,2020,FI_018,official
FI_019,FI,FI1C,FI1C1,019,Aura,3941,95.49901128,2020,FI_019,official
FI_020,FI,FI19,FI197,020,Akaa,16475,314.20956475,2020,FI_020,official
FI_035,FI,FI20,FI200,035,Brändö,445,86.39759366,2020,FI_035,official
FI_043,FI,FI20,FI200,043,Eckerö,952,106.66112202,2020,FI_043,official
FI_046,FI,FI1D,FI1D1,046,Enonkoski,1361,419.29998007,2020,FI_046,official
FI_047,FI,FI1D,FI1D7,047,Enontekiö / Enontekis,1838,8391.27120246,2020,FI_047,official
FI_049,FI,FI1B,FI1B1,049,Espoo / Esbo,289731,327.05706049,2020,FI_049,official
FI_050,FI,FI19,FI196,050,Eura,11632,630.44209978,2020,FI_050,official
FI_051,FI,FI19,FI196,051,Eurajoki / Euraåminne,9402,514.44526639,2020,FI_051,official
FI_052,FI,FI19,FI194,052,Evijärvi,2425,388.69970566,2020,FI_052,official
FI_060,FI,FI20,FI200,060,Finström,2593,129.2034733,2020,FI_060,official
FI_061,FI,FI1C,FI1C2,061,Forssa,16901,253.34583932,2020,FI_061,official
FI_062,FI,FI20,FI200,062,Föglö,531,116.56521714,2020,FI_062,official
FI_065,FI,FI20,FI200,065,Geta,496,85.69035747,2020,FI_065,official
FI_069,FI,FI1D,FI1D9,069,Haapajärvi,7010,789.86544116,2020,FI_069,official
FI_071,FI,FI1D,FI1D9,071,Haapavesi,6758,1085.47773739,2020,FI_071,official
FI_072,FI,FI1D,FI1D9,072,Hailuoto / Karlö,959,201.65464123,2020,FI_072,official
FI_074,FI,FI1D,FI1D5,074,Halsua,1127,428.68238803,2020,FI_074,official
FI_075,FI,FI1C,FI1C4,075,Hamina / Fredrikshamn,20111,628.92836554,2020,FI_075,official
FI_076,FI,FI20,FI200,076,Hammarland,1583,136.97670985,2020,FI_076,official
FI_077,FI,FI19,FI193,077,Hankasalmi,4875,687.55889832,2020,FI_077,official
FI_078,FI,FI1B,FI1B1,078,Hanko / Hangö,8199,111.81941654,2020,FI_078,official
FI_079,FI,FI19,FI196,079,Harjavalta,6931,127.74683119,2020,FI_079,official
FI_081,FI,FI1C,FI1C3,081,Hartola,2697,675.50143366,2020,FI_081,official
