gisco_id,longitude,latitude,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid,concordance,pop_weighted
MT_MT01101,14.516710765859651,35.89773373410182,MT,MT00,MT001,MT01101,Valletta,5827,0.83947772,2019,MT_MT01101,official,TRUE
MT_MT01103,14.527052093469146,35.886869616265805,MT,MT00,MT001,MT01103,Birgu,2489,0.51242858,2019,MT_MT01103,official,TRUE
MT_MT01104,14.516850183578395,35.88861752243441,MT,MT00,MT001,MT01104,L-Isla,2720,0.15776553,2019,MT_MT01104,official,TRUE
MT_MT01105,14.519268635374315,35.879756255520455,MT,MT00,MT001,MT01105,Bormla,5170,0.93722224,2019,MT_MT01105,official,TRUE
MT_MT01108,14.53766606177028,35.87779942808847,MT,MT00,MT001,MT01108,Ħaż-Żabbar,15431,5.3400006,2019,MT_MT01108,official,TRUE
MT_MT01117,14.51809869876684,35.87161967825806,MT,MT00,MT001,MT01117,Il-Fgura,12449,1.10859684,2019,MT_MT01117,official,TRUE
MT_MT01118,14.500220660720565,35.88995754122381,MT,MT00,MT001,MT01118,Il-Furjana,2032,0.95941364,2019,MT_MT01118,official,TRUE
MT_MT01129,14.530402543384046,35.88796340571718,MT,MT00,MT001,MT01129,Il-Kalkara,3059,1.75101359,2019,MT_MT01129,official,TRUE
MT_MT01133,14.48846954352968,35.863174667543824,MT,MT00,MT001,MT01133,Ħal Luqa,6162,6.77874241,2019,MT_MT01133,official,TRUE
MT_MT01134,14.491922857283972,35.880810271420245,MT,MT00,MT001,MT01134,Il-Marsa,5454,2.736221,2019,MT_MT01134,official,TRUE
MT_MT01145,14.506136951171015,35.871182487051435,MT,MT00,MT001,MT01145,Paola,8706,2.49432832,2019,MT_MT01145,official,TRUE
MT_MT01157,14.504939580794856,35.86186642162121,MT,MT00,MT001,MT01157,Santa Luċija,2954,0.72557478,2019,MT_MT01157,official,TRUE
MT_MT01162,14.515605449307722,35.87021790697387,MT,MT00,MT001,MT01162,Ħal Tarxien,8627,0.86903528,2019,MT_MT01162,official,TRUE
MT_MT01165,14.548965608317689,35.886675474949676,MT,MT00,MT001,MT01165,Ix-Xgħajra,1830,0.97317151,2019,MT_MT01165,official,TRUE
MT_MT01206,14.47146686120258,35.880949429841884,MT,MT00,MT001,MT01206,Ħal Qormi,16801,5.04487305,2019,MT_MT01206,official,TRUE
MT_MT01214,14.46468551271244,35.89936336535441,MT,MT00,MT001,MT01214,Birkirkara,24356,2.7450885,2019,MT_MT01214,official,TRUE
MT_MT01221,14.496061254025195,35.90774026354159,MT,MT00,MT001,MT01221,Il-Gżira,11669,0.98159867,2019,MT_MT01221,official,TRUE
MT_MT01227,14.487115087883463,35.88922634063809,MT,MT00,MT001,MT01227,Il-Ħamrun,9743,1.04565395,2019,MT_MT01227,official,TRUE
MT_MT01241,14.484078605651378,35.89812784481441,MT,MT00,MT001,MT01241,L-Imsida,13713,1.68779014,2019,MT_MT01241,official,TRUE
MT_MT01246,14.479789463748112,35.926850805200615,MT,MT00,MT001,MT01246,Pembroke,3842,2.29223197,2019,MT_MT01246,official,TRUE
MT_MT01247,14.49494187755205,35.889788499586054,MT,MT00,MT001,MT01247,Tal-Pieta',4892,0.46311719,2019,MT_MT01247,official,TRUE
MT_MT01252,14.487291960805976,35.91717690278513,MT,MT00,MT001,MT01252,San Ġiljan,13792,1.58856096,2019,MT_MT01252,official,TRUE
MT_MT01253,14.4782227734447,35.9088956644158,MT,MT00,MT001,MT01253,San Ġwann,14720,2.63103114,2019,MT_MT01253,official,TRUE
