gisco_id,longitude,latitude,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid,concordance,pop_weighted
FI_005,23.81510352542995,62.991285246965845,FI,FI19,FI194,005,Alajärvi,9562,1056.57355029,2020,FI_005,official,TRUE
FI_009,24.30779628164925,64.16821058858112,FI,FI1D,FI1D9,009,Alavieska,2519,254.1643892,2020,FI_009,official,TRUE
FI_010,23.638733542751307,62.59490026485606,FI,FI19,FI194,010,Alavus,11468,1151.97672413,2020,FI_010,official,TRUE
FI_016,25.554830789429374,61.16930225867637,FI,FI1C,FI1C3,016,Asikkala,8083,755.18990806,2020,FI_016,official,TRUE
FI_018,25.56392307131694,60.50802402271433,FI,FI1B,FI1B1,018,Askola,4943,218.11008753,2020,FI_018,official,TRUE
FI_019,22.581543926386097,60.64596728807802,FI,FI1C,FI1C1,019,Aura,3941,95.49901128,2020,FI_019,official,TRUE
FI_020,23.83223360313653,61.180555237442015,FI,FI19,FI197,020,Akaa,16475,314.20956475,2020,FI_020,official,TRUE
FI_035,21.046388971199605,60.41453995847157,FI,FI20,FI200,035,Brändö,445,86.39759366,2020,FI_035,official,TRUE
FI_043,19.56840357942987,60.21983995371413,FI,FI20,FI200,043,Eckerö,952,106.66112202,2020,FI_043,official,TRUE
FI_046,28.92160632460715,62.08851769444053,FI,FI1D,FI1D1,046,Enonkoski,1361,419.29998007,2020,FI_046,official,TRUE
FI_047,23.20018095576984,68.45609903133865,FI,FI1D,FI1D7,047,Enontekiö / Enontekis,1838,8391.27120246,2020,FI_047,official,TRUE
FI_049,24.732566409355407,60.18775984653934,FI,FI1B,FI1B1,049,Espoo / Esbo,289731,327.05706049,2020,FI_049,official,TRUE
FI_050,22.139355040674968,61.12922336392736,FI,FI19,FI196,050,Eura,11632,630.44209978,2020,FI_050,official,TRUE
FI_051,21.702736703417823,61.24978241440659,FI,FI19,FI196,051,Eurajoki / Euraåminne,9402,514.44526639,2020,FI_051,official,TRUE
FI_052,23.468522566282363,63.36880789367909,FI,FI19,FI194,052,Evijärvi,2425,388.69970566,2020,FI_052,official,TRUE
FI_060,19.976631365792592,60.23322833185018,FI,FI20,FI200,060,Finström,2593,129.2034733,2020,FI_060,official,TRUE
FI_061,23.62306154417809,60.81393744703715,FI,FI1C,FI1C2,061,Forssa,16901,253.34583932,2020,FI_061,official,TRUE
FI_062,20.394560855152008,60.027219334375744,FI,FI20,FI200,062,Föglö,531,116.56521714,2020,FI_062,official,TRUE
FI_065,19.848535363613276,60.36942966334487,FI,FI20,FI200,065,Geta,496,85.69035747,2020,FI_065,official,TRUE
FI_069,25.32350336390015,63.753825160446894,FI,FI1D,FI1D9,069,Haapajärvi,7010,789.86544116,2020,FI_069,official,TRUE
FI_071,25.365700511749814,64.1392607692121,FI,FI1D,FI1D9,071,Haapavesi,6758,1085.47773739,2020,FI_071,official,TRUE
FI_072,24.731033445656035,65.01617590609148,FI,FI1D,FI1D9,072,Hailuoto / Karlö,959,201.65464123,2020,FI_072,official,TRUE
FI_074,24.17841417415902,63.45349026425676,FI,FI1D,FI1D5,074,Halsua,1127,428.68238803,2020,FI_074,official,TRUE
FI_075,27.173082130652137,60.57295248900917,FI,FI1C,FI1C4,075,Hamina / Fredrikshamn,20111,628.92836554,2020,FI_075,official,TRUE
FI_076,19.73632212217956,60.21702037738545,FI,FI20,FI200,076,Hammarland,1583,136.97670985,2020,FI_076,official,TRUE
FI_077,26.444027105071505,62.35289392215838,FI,FI19,FI193,077,Hankasalmi,4875,687.55889832,2020,FI_077,official,TRUE
FI_078,22.969262819545857,59.83377068042322,FI,FI1B,FI1B1,078,Hanko / Hangö,8199,111.81941654,2020,FI_078,official,TRUE
FI_079,22.147939980467257,61.31653130901941,FI,FI19,FI196,079,Harjavalta,6931,127.74683119,2020,FI_079,official,TRUE
FI_081,26.020612751982206,61.57908334667363,FI,FI1C,FI1C3,081,Hartola,2697,675.50143366,2020,FI_081,official,TRUE
FI_082,24.375712243844177,61.05589385037941,FI,FI1C,FI1C2,082,Hattula,9422,425.68484079,2020,FI_082,official,TRUE
FI_086,24.876228913309284,60.7911234267388,FI,FI1C,FI1C2,086,Hausjärvi,8260,398.73683806,2020,FI_086,official,TRUE
FI_090,28.636876198810636,62.424665329215074,FI,FI1D,FI1D1,090,Heinävesi,3254,1318.99571728,2020,FI_090,official,TRUE
FI_091,24.97363171424323,60.20384638677301,FI,FI1B,FI1B1,091,Helsinki / Helsingfors,653835,210.50512173,2020,FI_091,official,TRUE
FI_092,24.987983248545643,60.29386673933082,FI,FI1B,FI1B1,092,Vantaa / Vanda,233775,240.40282044,2020,FI_092,official,TRUE
FI_097,26.777503738294932,61.646528516178066,FI,FI1D,FI1D1,097,Hirvensalmi,2136,746.66655956,2020,FI_097,official,TRUE
FI_098,25.515269273132045,60.991162829845415,FI,FI1C,FI1C3,098,Hollola,23410,727.98637492,2020,FI_098,official,TRUE
FI_099,22.269875283255352,61.994847186905325,FI,FI19,FI196,099,Honkajoki,1620,334.4905427,2020,FI_099,official,TRUE
FI_102,22.703172681039597,61.178456410813894,FI,FI19,FI196,102,Huittinen,10044,538.97432254,2020,FI_102,official,TRUE
FI_103,23.368852447765327,60.92588834504684,FI,FI1C,FI1C2,103,Humppila,2184,148.55286175,2020,FI_103,official,TRUE
FI_105,28.484222517318333,64.67660676695013,FI,FI1D,FI1D8,105,Hyrynsalmi,2271,1522.145912,2020,FI_105,official,TRUE
FI_106,24.85828658785344,60.62710504911253,FI,FI1B,FI1B1,106,Hyvinkää / Hyvinge,46470,336.7278649,2020,FI_106,official,TRUE
FI_108,23.189109543120782,61.65636271212112,FI,FI19,FI197,108,Hämeenkyrö / Tavastkyro,10404,504.66373018,2020,FI_108,official,TRUE
FI_109,24.460796309283307,60.9971900093885,FI,FI1C,FI1C2,109,Hämeenlinna / Tavastehus,67633,2034.29105865,2020,FI_109,official,TRUE
FI_111,26.03450779864014,61.20437384638433,FI,FI1C,FI1C3,111,Heinola,18667,839.75144909,2020,FI_111,official,TRUE
FI_139,25.365544130854833,65.33882536380432,FI,FI1D,FI1D9,139,Ii,9844,1661.3435558,2020,FI_139,official,TRUE
FI_140,27.201524253023347,63.56139775409639,FI,FI1D,FI1D2,140,Iisalmi / Idensalmi,21368,872.66724557,2020,FI_140,official,TRUE
FI_142,26.341606337680915,60.891159281092186,FI,FI1C,FI1C4,142,Iitti,6711,686.86999517,2020,FI_142,official,TRUE
FI_143,23.07022819881735,61.76871019866387,FI,FI19,FI197,143,Ikaalinen / Ikalis,6942,843.68196908,2020,FI_143,official,TRUE
FI_145,22.596819531136273,62.73741133248044,FI,FI19,FI194,145,Ilmajoki,12269,579.40207254,2020,FI_145,official,TRUE
FI_146,30.928419234264904,62.67117944673664,FI,FI1D,FI1D3,146,Ilomantsi / Ilomants,4857,3172.5556186,2020,FI_146,official,TRUE
