gisco_id,longitude,latitude,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid,concordance,pop_weighted
MT_MT01101,14.516710765859651,35.89773373410182,MT,MT00,MT001,MT01101,Valletta,5891,0.83947771,2020,MT_MT01101,official,TRUE
MT_MT01103,14.527052093469146,35.886869616265805,MT,MT00,MT001,MT01103,Birgu,2480,0.51242858,2020,MT_MT01103,official,TRUE
MT_MT01104,14.516850183578395,35.88861752243441,MT,MT00,MT001,MT01104,L-Isla,2769,0.15776551,2020,MT_MT01104,official,TRUE
MT_MT01105,14.519268635374313,35.879756255520455,MT,MT00,MT001,MT01105,Bormla,5184,0.93722220999999994,2020,MT_MT01105,official,TRUE
MT_MT01108,14.537638577919834,35.877710753886625,MT,MT00,MT001,MT01108,Ħaż-Żabbar,15660,5.34000054,2020,MT_MT01108,official,TRUE
MT_MT01117,14.51809869876684,35.87161967825806,MT,MT00,MT001,MT01117,Il-Fgura,12877,1.10859689,2020,MT_MT01117,official,TRUE
MT_MT01118,14.500220660720569,35.88995754122381,MT,MT00,MT001,MT01118,Il-Furjana,2053,0.95941364,2020,MT_MT01118,official,TRUE
MT_MT01129,14.530202118703025,35.88797352368057,MT,MT00,MT001,MT01129,Il-Kalkara,3112,1.75101362,2020,MT_MT01129,official,TRUE
MT_MT01133,14.488339303864358,35.86323466806512,MT,MT00,MT001,MT01133,Ħal Luqa,6379,6.77874239,2020,MT_MT01133,official,TRUE
MT_MT01134,14.491922857283974,35.880810271420245,MT,MT00,MT001,MT01134,Il-Marsa,5823,2.736221,2020,MT_MT01134,official,TRUE
MT_MT01145,14.506136951171017,35.871182487051435,MT,MT00,MT001,MT01145,Paola,9073,2.49432833,2020,MT_MT01145,official,TRUE
MT_MT01157,14.504939580794856,35.86186642162121,MT,MT00,MT001,MT01157,Santa Luċija,2958,0.72557479,2020,MT_MT01157,official,TRUE
MT_MT01162,14.515605449307722,35.87021790697388,MT,MT00,MT001,MT01162,Ħal Tarxien,8863,0.86903525,2020,MT_MT01162,official,TRUE
MT_MT01165,14.549351659320456,35.886859581067455,MT,MT00,MT001,MT01165,Ix-Xgħajra,1924,0.97317153,2020,MT_MT01165,official,TRUE
MT_MT01206,14.471468128963346,35.880950361679524,MT,MT00,MT001,MT01206,Ħal Qormi,17287,5.04487304,2020,MT_MT01206,official,TRUE
MT_MT01214,14.464685522535316,35.899363012950516,MT,MT00,MT001,MT01214,Birkirkara,25463,2.74508857,2020,MT_MT01214,official,TRUE
MT_MT01221,14.496021720910525,35.907742546731114,MT,MT00,MT001,MT01221,Il-Gżira,12816,0.98159865,2020,MT_MT01221,official,TRUE
MT_MT01227,14.487104843321452,35.88922574669948,MT,MT00,MT001,MT01227,Il-Ħamrun,10075,1.04565392,2020,MT_MT01227,official,TRUE
